game,num_bots,is_bot,win,payoff,is_resistance,role,resistance_win,res_bots,spy_bots,seat
170b158d,3,False,False,-1.0,True,Merlin,False,2,1,0
170b158d,3,True,False,-1.0,True,Resistance,False,2,1,1
170b158d,3,True,False,-1.0,True,Resistance,False,2,1,2
170b158d,3,True,True,1.5,False,Spy,False,2,1,3
170b158d,3,False,True,1.5,False,Assassin,False,2,1,4
fab6a8e1,4,True,True,1.5,False,Assassin,False,2,2,0
fab6a8e1,4,False,False,-1.0,True,Resistance,False,2,2,1
fab6a8e1,4,True,False,-1.0,True,Resistance,False,2,2,2
fab6a8e1,4,True,False,-1.0,True,Merlin,False,2,2,3
fab6a8e1,4,True,True,1.5,False,Spy,False,2,2,4
9c958b6f,4,False,False,-1.0,True,Merlin,False,2,2,0
9c958b6f,4,True,False,-1.0,True,Resistance,False,2,2,1
9c958b6f,4,True,True,1.5,False,Spy,False,2,2,2
9c958b6f,4,True,False,-1.0,True,Resistance,False,2,2,3
9c958b6f,4,True,True,1.5,False,Assassin,False,2,2,4
4c33d3be,1,False,True,1.5,False,Assassin,False,0,1,0
4c33d3be,1,False,False,-1.0,True,Resistance,False,0,1,1
4c33d3be,1,False,False,-1.0,True,Merlin,False,0,1,2
4c33d3be,1,True,True,1.5,False,Spy,False,0,1,3
4c33d3be,1,False,False,-1.0,True,Resistance,False,0,1,4
a5e9e973,4,True,True,1.0,True,Merlin,True,3,1,0
a5e9e973,4,True,True,1.0,True,Resistance,True,3,1,1
a5e9e973,4,True,True,1.0,True,Resistance,True,3,1,2
a5e9e973,4,True,False,-1.5,False,Assassin,True,3,1,3
a5e9e973,4,False,False,-1.5,False,Spy,True,3,1,4
b7afb709,4,True,False,-1.0,True,Resistance,False,3,1,0
b7afb709,4,True,False,-1.0,True,Merlin,False,3,1,1
b7afb709,4,False,True,1.5,False,Assassin,False,3,1,2
b7afb709,4,True,True,1.5,False,Spy,False,3,1,3
b7afb709,4,True,False,-1.0,True,Resistance,False,3,1,4
11c44101,3,True,False,-1.5,False,Spy,True,2,1,0
11c44101,3,False,False,-1.5,False,Assassin,True,2,1,1
11c44101,3,False,True,1.0,True,Merlin,True,2,1,2
11c44101,3,True,True,1.0,True,Resistance,True,2,1,3
11c44101,3,True,True,1.0,True,Resistance,True,2,1,4
97148f7d,4,True,True,1.0,True,Resistance,True,3,1,0
97148f7d,4,True,False,-1.5,False,Assassin,True,3,1,1
97148f7d,4,True,True,1.0,True,Merlin,True,3,1,2
97148f7d,4,True,True,1.0,True,Resistance,True,3,1,3
97148f7d,4,False,False,-1.5,False,Spy,True,3,1,4
e9f90349,4,True,True,1.0,True,Resistance,True,2,2,0
e9f90349,4,False,True,1.0,True,Merlin,True,2,2,1
e9f90349,4,True,False,-1.5,False,Assassin,True,2,2,2
e9f90349,4,True,True,1.0,True,Resistance,True,2,2,3
e9f90349,4,True,False,-1.5,False,Spy,True,2,2,4
120287c8,4,False,False,-1.5,False,Assassin,True,3,1,0
120287c8,4,True,True,1.0,True,Resistance,True,3,1,1
120287c8,4,True,True,1.0,True,Merlin,True,3,1,2
120287c8,4,True,False,-1.5,False,Spy,True,3,1,3
120287c8,4,True,True,1.0,True,Resistance,True,3,1,4
ef835a00,4,True,True,1.5,False,Assassin,False,2,2,0
ef835a00,4,True,False,-1.0,True,Resistance,False,2,2,1
ef835a00,4,True,False,-1.0,True,Resistance,False,2,2,2
ef835a00,4,False,False,-1.0,True,Merlin,False,2,2,3
ef835a00,4,True,True,1.5,False,Spy,False,2,2,4
935d1733,4,True,True,1.5,False,Assassin,False,2,2,0
935d1733,4,False,False,-1.0,True,Merlin,False,2,2,1
935d1733,4,True,True,1.5,False,Spy,False,2,2,2
935d1733,4,True,False,-1.0,True,Resistance,False,2,2,3
935d1733,4,True,False,-1.0,True,Resistance,False,2,2,4
0ccb919a,4,True,True,1.5,False,Assassin,False,2,2,0
0ccb919a,4,True,False,-1.0,True,Resistance,False,2,2,1
0ccb919a,4,True,False,-1.0,True,Merlin,False,2,2,2
0ccb919a,4,False,False,-1.0,True,Resistance,False,2,2,3
0ccb919a,4,True,True,1.5,False,Spy,False,2,2,4
3cb220e3,3,True,False,-1.0,True,Resistance,False,2,1,0
3cb220e3,3,True,False,-1.0,True,Resistance,False,2,1,1
3cb220e3,3,False,True,1.5,False,Assassin,False,2,1,2
3cb220e3,3,False,False,-1.0,True,Merlin,False,2,1,3
3cb220e3,3,True,True,1.5,False,Spy,False,2,1,4
c5ab0b92,3,True,True,1.5,False,Spy,False,2,1,0
c5ab0b92,3,False,True,1.5,False,Assassin,False,2,1,1
c5ab0b92,3,True,False,-1.0,True,Resistance,False,2,1,2
c5ab0b92,3,False,False,-1.0,True,Resistance,False,2,1,3
c5ab0b92,3,True,False,-1.0,True,Merlin,False,2,1,4
6b6525bb,3,True,False,-1.5,False,Spy,True,1,2,0
6b6525bb,3,True,False,-1.5,False,Assassin,True,1,2,1
6b6525bb,3,True,True,1.0,True,Merlin,True,1,2,2
6b6525bb,3,False,True,1.0,True,Resistance,True,1,2,3
6b6525bb,3,False,True,1.0,True,Resistance,True,1,2,4
4366087a,4,False,False,-1.5,False,Assassin,True,3,1,0
4366087a,4,True,True,1.0,True,Resistance,True,3,1,1
4366087a,4,True,True,1.0,True,Resistance,True,3,1,2
4366087a,4,True,False,-1.5,False,Spy,True,3,1,3
